id;Q1- What is your gender?;Q2- Which age group do you belong to?;City;Country;Center (e.g: Univeristy of …., Institute of ….,….);Type (Public/Private);Q3- What is the highest level of education you have completed?;Q4- How many years have you worked in sports statistics in academia?;Q5- Wich best describes your profile?;Q6- Do you currently belong to a sports statistics research group?;Research group name;Link of center or research group;Number of members of research group;Total number of citations in Google Scholar;Total number of citations in Google Scholar since 2018;Total number of citations acording to H-index;Total number of citations acording to H-index since 2018;Number of citations of the article with most citations;Q7- What sport have you worked on the most on a statistical level? (Select all that apply);Number of sports studied
22;Male;60 +;Salerno;Italy;University of Salerno;Public;Doctorate or PhD;3-4 years;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;1115;346;19;10;105;Soccer;1
23;Male;45-59;Denver;United States;University of Denver;Private;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;908;619;13;11;223;Basketball;1
24;Male;60 +;Provo;United States;University Brigham Young;Private;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;Sports Analytics;https://science.byu.edu/research/statistics/sports-analytics;3;5569;1601;43;24;369;Baseball,Soccer,Volleyball;3
25;Male;45-59;Barcelona;Spain;Polytechnic University of Catalonia;Public;Doctorate or PhD;1-2 years;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;812;778;12;12;336;Basketball,Soccer;2
26;Male;30-44;Barcelona;Spain;Polytechnic University of Catalonia;Public;Doctorate or PhD;3-4 years;Academic sports statistician with years of expertise and contributions, but currently working in the sports industry;No;No research group ;No research group ;0;642;634;10;9;194;Basketball,Soccer;4
27;Male;45-59;Padova;Italy;University of Padova;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;771;423;17;12;82;Tennis;1
28;Female;60 +;Perth;Australia;University Edith Cowan;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;27292;11920;89;54;1090;Soccer,Cricket,Other;3
29;Male;30-44;Santa Barbara;United States;University of California Santa Barbara;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;1394;1153;14;14;396;Basketball;1
30;Male;45-59;Dublin;Dublin;University College of Dublin;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;3023;1644;30;20;394;Soccer;1
31;Male;60 +;Leeds;England;University of Leeds;Public;Doctorate or PhD;5 years or more;Part-time sports statistician in academia and part-time in the sports industry;Yes;ISPAS;http://www.ispas.com/index.html;0;3277;1026;33;18;277;Soccer,Rugby Union;1
